ID,DOM,Area,LP,SP,SqFt,BR,Bth,PB,Gar,GarSp,YrBlt,HOA Fee
ML81860082,3,3500,1198000,1350000,1474,3,2,1,Y,2,1987,88
ML81834202,0,3500,1198000,1298000,1453,3,2,0,Y,2,1981,0
ML81847005,7,3500,1198000,1305000,1638,3,2,1,Y,2,1987,88
ML81775537,4,3500,1198000,1180000,1755,2,2,1,Y,2,1988,78
ML81853625,6,3500,1198000,1325000,1298,3,2,0,Y,2,1975,0
ML81803119,7,3500,1198000,1230000,1737,3,2,1,Y,2,1987,88
ML81851031,1,3500,1198900,1380000,1409,4,2,0,Y,2,1977,0
ML81835998,5,3500,1199000,1328000,1503,3,2,1,Y,2,1950,0
ML81743479,15,3500,1199000,1350000,2160,4,3,0,Y,2,1965,0
ML81795281,4,3500,1199000,1230000,2422,4,3,1,Y,2,2016,149
ML81848480,22,3500,1199000,1250000,1384,3,2,1,Y,2,1989,0
ML81825624,21,3500,1199000,1410000,1503,4,2,0,Y,2,1977,0
ML81823409,12,3500,1199000,1320000,1871,4,2,1,Y,2,1978,0
ML81797038,41,3500,1199000,1186825,1550,3,2,0,Y,2,1956,216
ML81813919,7,3500,1199800,1250000,2160,4,3,0,Y,2,1965,0
ML81777333,13,3500,1200000,1220000,1600,3,2,0,Y,2,2018,0
ML81827594,0,3500,1200000,1250000,1763,3,2,1,Y,2,1955,216
ML81801311,57,3500,1225000,1235000,1824,4,2,1,Y,2,1989,60
ML81827413,6,3500,1248000,1405000,1320,3,2,0,Y,2,1960,257
ML81741466,8,3500,1248000,1248000,1703,4,2,0,Y,2,1967,0
ML81812529,6,3500,1249000,1410000,1671,3,2,0,Y,2,1986,0
ML81842280,7,3500,1249000,1440000,1256,3,2,0,Y,2,1967,0
ML81814364,6,3500,1249000,1378000,1980,4,2,1,Y,2,1972,0
ML81840958,7,3500,1249000,1540000,1500,3,2,0,Y,2,1963,0
ML81811502,1,3500,1249800,1300000,1745,3,2,0,Y,2,1958,20
ML81822345,6,3500,1250000,1440000,1688,3,2,0,Y,2,1971,0
ML81842293,6,3500,1250000,1480000,1403,3,2,0,Y,2,1965,0
ML81799209,34,3500,1250000,1275000,2244,4,2,1,Y,3,2003,0
ML81839305,10,3500,1250000,1500000,1571,3,2,0,Y,2,1964,0
ML81791459,49,3500,1250000,1199000,1688,3,2,0,Y,2,1971,0
ML81850324,6,3500,1260000,1260000,1119,3,2,0,Y,2,1954,0
ML81781543,6,3500,1268000,1380000,2166,5,3,0,Y,2,2003,0
