ID,DOM,Area,LP,SP,SqFt,BR,Bth,PB,Gar,GarSp,YrBlt,Lot SqFt,HOA Fee,Closing Date
40869635,60,3700,"$2,238,000 ","$2,238,000 ",3204,4,4,1,Y,2,2019,"5,016",266,9/5/19
ML81760933,22,3500,"$1,148,000 ","$1,120,000 ",1584,4,2,,Y,2,1960,"7,650",15,9/6/19
40876507,12,3700,"$924,950 ","$875,000 ",1701,4,2,1,Y,2,1963,"13,680",,9/6/19
40873947,6,3700,"$1,199,000 ","$1,250,000 ",1688,3,2,0,Y,2,1971,"7,456",,9/6/19
40874254,12,3700,"$1,324,000 ","$1,300,000 ",1724,4,2,1,Y,2,1993,"6,790",110,9/6/19
40874925,15,3700,"$1,478,888 ","$1,450,000 ",2413,4,3,0,Y,2,1985,"6,941",,9/6/19
ME19036856,72,21101,"$799,000 ","$765,000 ",1036,3,1,0,,2,1959,"6,300",,9/9/19
40867813,70,3700,"$799,000 ","$765,000 ",1036,3,1,,Y,2,1959,"6,300",,9/9/19
40876510,9,3700,"$899,000 ","$807,500 ",1075,3,1,0,Y,1,1951,"9,000",,9/9/19
40872154,42,3700,"$925,000 ","$910,000 ",1712,3,2,2,Y,2,2014,"1,500",132,9/9/19
40877399,4,3700,"$1,048,000 ","$1,020,000 ",1664,4,2,1,Y,2,1988,"3,560",60,9/9/19
ML81763706,6,3700,"$1,048,000 ","$1,020,000 ",1664,4,2,1,,0,1988,"3,560",60,9/9/19
40872388,29,3700,"$1,299,000 ","$1,267,500 ",1785,4,2,1,Y,2,1977,"5,687",,9/9/19
SF487584,18,3700,"$1,899,000 ","$1,820,000 ",2810,5,3,0,,0,1988,"6,800",78,9/9/19
40876968,10,3700,"$765,000 ","$760,000 ",1166,3,2,0,Y,2,1953,"6,132",,9/10/19
ML81768374,0,3700,"$899,000 ","$810,000 ",1736,4,2,,Y,2,1962,"5,800",,9/10/19
40878973,7,3700,"$1,000,000 ","$1,050,000 ",2319,4,3,0,Y,2,1968,"5,800",,9/10/19
40876678,11,3700,"$1,029,000 ","$1,080,000 ",1170,3,2,0,Y,2,1956,"7,392",,9/10/19
40877176,4,3700,"$1,098,000 ","$1,130,000 ",1622,3,3,0,Y,2,1961,"6,175",,9/10/19
40877343,3,3700,"$1,348,000 ","$1,350,000 ",1857,4,2,1,Y,2,1990,"4,400",40,9/10/19
BA21919176,14,21101,"$1,225,000 ","$1,210,000 ",1877,3,2,0,,2,1959,"7,700",140,9/11/19
40877303,9,3700,"$825,000 ","$838,100 ",1324,4,2,0,Y,2,1963,"7,000",,9/11/19
40877764,9,3700,"$855,000 ","$855,000 ",1131,3,2,,Y,2,1962,"6,267",,9/11/19
ML81758549,25,3700,"$899,880 ","$900,000 ",1444,4,2,,Y,2,1969,"3,625",,9/11/19
40872130,26,3700,"$899,880 ","$900,000 ",1444,4,2,0,Y,2,1969,"3,625",,9/11/19
40877470,12,3700,"$999,000 ","$995,000 ",1452,3,2,0,Y,1,1947,"7,500",,9/11/19
40876980,14,3700,"$1,225,000 ","$1,210,000 ",1877,3,2,,Y,2,1959,"7,700",140,9/11/19
ML81755525,67,3500,"$949,999 ","$950,000 ",1615,4,2,,Y,2,1961,"6,523",,9/12/19
ML81760447,34,3700,"$932,888 ","$925,000 ",1712,3,2,2,Y,2,2013,"1,780",132,9/12/19
40873819,36,3700,"$932,888 ","$925,000 ",1712,3,2,2,Y,2,2013,"1,780",132,9/12/19
40868901,68,3700,"$949,999 ","$950,000 ",1615,4,2,0,Y,2,1961,"6,523",,9/12/19
40876938,10,3700,"$999,800 ","$950,000 ",1619,4,2,0,Y,2,1963,"5,700",,9/12/19
40867013,63,3700,"$1,029,800 ","$1,010,000 ",2093,4,3,1,Y,2,2013,"1,730",132,9/12/19
40874633,33,3700,"$1,100,000 ","$1,089,000 ",1647,4,2,1,Y,2,1987,"3,150",90,9/12/19
40878162,8,3700,"$1,178,000 ","$1,270,000 ",1916,4,1,1,Y,2,1964,"6,630",,9/12/19
ML81764500,8,3700,"$1,178,000 ","$1,270,000 ",1916,4,2,,Y,2,1964,"6,630",,9/12/19
ML81765317,5,3700,"$1,199,950 ","$1,170,000 ",1779,3,2,1,Y,1,1950,"8,911",,9/12/19
40878999,7,3700,"$1,199,950 ","$1,170,000 ",1779,3,2,1,Y,1,1950,"8,911",,9/12/19
ML81763252,10,3700,"$2,099,000 ","$2,099,000 ",3400,5,3,1,Y,3,2017,"5,400",129,9/12/19
40874739,27,3700,"$2,499,888 ","$2,424,000 ",4047,5,3,,Y,3,1980,"13,480",,9/12/19
ME19054928,15,21101,"$1,248,888 ","$1,200,000 ",1532,4,2,0,,2,1962,"6,970",,9/13/19
40869174,66,3700,"$925,000 ","$900,000 ",1558,4,2,,Y,2,1962,"5,700",,9/13/19
40878841,9,3700,"$1,029,000 ","$1,055,000 ",1413,4,2,0,Y,2,1962,"6,231",,9/13/19
ML81765074,9,3700,"$1,029,000 ","$1,055,000 ",1413,4,2,,Y,2,1962,"6,231",,9/13/19
40877308,10,3700,"$1,150,000 ","$1,150,000 ",1594,3,2,0,Y,2,1961,"7,810",180,9/13/19
40869806,48,3700,"$1,349,950 ","$1,315,000 ",2677,5,3,0,Y,2,1952,"8,442",,9/13/19
40867494,70,3700,"$1,359,000 ","$1,315,000 ",2326,5,3,,Y,3,1965,"6,835",,9/13/19
40877694,6,3700,"$1,450,000 ","$1,450,000 ",2240,4,3,0,Y,2,1969,"8,625",,9/13/19
40876012,19,3700,"$1,465,000 ","$1,460,000 ",1784,4,2,1,Y,2,1976,"6,155",,9/13/19
ML81761862,17,3700,"$2,328,000 ","$2,287,000 ",4090,6,4,1,Y,2,1978,"8,304",,9/13/19
40875555,17,3700,"$2,328,000 ","$2,287,000 ",4090,6,4,1,Y,2,1978,"8,304",,9/13/19
40877047,12,3700,"$1,248,888 ","$1,200,000 ",1532,4,2,0,Y,2,1962,"7,095",,9/14/19
40870958,18,3700,"$2,690,000 ","$2,525,000 ",4598,4,3,1,Y,3,1983,"22,937",,9/14/19
40877296,9,3700,"$725,000 ","$769,000 ",972,2,2,0,Y,2,1973,"4,080",,9/16/19
ML81760366,29,3700,"$745,000 ","$715,000 ",1257,2,2,0,Y,1,1978,"2,594",34,9/16/19
40873780,49,3700,"$798,888 ","$860,000 ",1112,3,2,0,Y,2,1954,"5,250",,9/16/19
40875384,24,3700,"$809,000 ","$780,000 ",1050,3,1,1,Y,2,1957,"6,000",,9/16/19
ML81763885,6,3700,"$948,800 ","$990,000 ",1513,3,2,0,Y,2,1962,"6,000",,9/16/19
40877779,6,3700,"$948,800 ","$990,000 ",1513,3,2,,Y,2,1962,"6,000",,9/16/19
40872242,55,3700,"$1,038,000 ","$1,030,000 ",1424,3,2,,Y,2,1960,"6,220",,9/16/19
40877182,10,3700,"$2,099,000 ","$2,099,000 ",3400,5,3,1,Y,3,2017,"5,400",128,9/16/19
40871809,54,3700,"$700,000 ","$700,000 ",1092,2,1,,Y,0,1933,"4,000",,9/17/19
SF488308,7,3700,"$725,000 ","$769,000 ",988,2,2,0,,0,1973,"4,080",,9/17/19
40877748,7,3700,"$949,999 ","$980,000 ",1989,4,2,0,Y,2,1962,"6,042",,9/17/19
40877225,10,3700,"$1,034,999 ","$1,035,000 ",1291,3,2,,Y,2,1977,"6,226",,9/17/19
40878475,8,3700,"$1,298,000 ","$1,275,000 ",2069,4,3,0,Y,2,1956,"6,955",,9/17/19
40875522,22,3700,"$1,299,000 ","$1,300,000 ",2915,4,3,0,Y,3,1990,"6,270",,9/17/19
40864130,12,3700,"$2,198,000 ","$2,206,684 ",2757,4,3,1,Y,2,2019,"3,680",215,9/17/19
40877547,19,3700,"$758,888 ","$725,000 ",1446,3,2,,Y,2,1960,"7,440",,9/18/19
ML81760243,25,3700,"$995,000 ","$975,000 ",1399,3,2,,Y,1,1951,"10,800",,9/18/19
ML81762980,6,3700,"$1,165,000 ","$1,180,000 ",1644,4,2,1,Y,2,1988,"3,150",90,9/18/19
40876826,7,3700,"$1,165,000 ","$1,180,000 ",1644,4,2,1,Y,2,1988,"3,150",90,9/18/19
40873542,36,3700,"$1,650,000 ","$1,650,000 ",3311,5,4,,Y,2,1977,"8,960",,9/18/19
ML81759625,36,3700,"$1,650,000 ","$1,650,000 ",3311,5,4,,Y,2,1977,"8,960",,9/18/19
40876984,13,3700,"$2,325,000 ","$2,160,000 ",3744,4,4,1,Y,2,2006,"6,642",85,9/18/19
ML81763147,12,3700,"$2,325,000 ","$2,160,000 ",3744,4,4,1,Y,2,2006,"6,642",85,9/18/19
40873703,46,3700,"$699,950 ","$710,000 ",950,3,1,0,Y,1,1955,"5,300",,9/19/19
ML81748584,118,3700,"$1,798,000 ","$1,660,000 ",2681,4,3,,Y,3,1991,"8,900",,9/19/19
40862477,118,3700,"$1,798,000 ","$1,660,000 ",2681,4,3,,Y,3,1991,"8,900",,9/19/19
40871712,40,3700,"$699,888 ","$692,000 ",1250,4,1,0,N,0,1955,"5,070",,9/20/19
40873344,34,3700,"$1,299,950 ","$1,235,000 ",2407,3,2,1,Y,2,1948,"14,596",,9/20/19
ML81759468,45,3700,"$1,780,000 ","$1,725,000 ",2888,5,3,,Y,2,2016,"4,500",157,9/20/19
40878576,10,3700,"$939,950 ","$940,000 ",1664,4,3,,Y,2,1989,"5,797",60,9/23/19
40876737,20,3700,"$1,098,000 ","$1,086,000 ",1599,4,3,1,Y,2,2012,0,266,9/23/19
40877690,12,3700,"$1,249,800 ","$1,250,000 ",2163,4,2,1,Y,2,1993,"4,000",,9/23/19
40878035,9,3700,"$1,399,000 ","$1,375,000 ",1917,4,2,1,Y,2,1988,"6,000",,9/23/19
40877755,10,3700,"$1,799,000 ","$1,750,000 ",2857,4,3,0,Y,2,2001,"6,121",85,9/23/19
40879136,9,3700,"$999,888 ","$1,130,000 ",1573,3,2,,Y,2,1962,"8,745",,9/24/19
40879910,8,3700,"$1,200,000 ","$1,350,000 ",1689,3,2,0,Y,2,1965,"6,000",,9/24/19
40875758,33,3700,"$1,249,000 ","$1,208,000 ",1961,4,3,0,Y,2,1959,"6,060",,9/24/19
40866905,91,3700,"$1,780,000 ","$1,725,000 ",2888,5,3,,Y,2,2016,"4,500",157,9/24/19
40866756,96,3700,"$749,999 ","$725,000 ",950,3,1,0,Y,1,1954,"6,000",,9/25/19
40873617,51,3700,"$1,049,888 ","$950,000 ",1446,3,2,0,Y,2,1961,"6,845",,9/25/19
ML81765178,8,3700,"$799,000 ","$885,000 ",1112,3,2,,Y,2,1954,"7,000",,9/26/19
40878667,10,3700,"$799,800 ","$850,000 ",1067,3,2,0,Y,2,1962,"5,510",,9/26/19
ML81770253,0,3700,"$1,158,000 ","$1,170,000 ",1494,4,2,,Y,2,1970,"5,800",,9/26/19
40870014,74,3700,"$1,174,999 ","$1,140,000 ",2394,4,2,1,Y,2,1963,"7,986",,9/26/19
40878432,14,3700,"$2,388,888 ","$2,425,000 ",3518,5,3,1,Y,3,1999,"13,788",,9/26/19
ML81756452,73,3500,"$1,174,999 ","$1,140,000 ",2394,4,2,1,Y,2,1963,"7,986",,9/27/19
ML81762713,4,3700,"$760,000 ","$790,000 ",948,3,1,,Y,2,1959,"6,693",,9/27/19
40878922,14,3700,"$799,777 ","$820,000 ",1112,3,2,0,N,1,1949,"8,400",,9/27/19
40878157,14,3700,"$898,000 ","$865,000 ",1438,3,2,0,Y,2,1960,"6,018",,9/27/19
40877550,40,3700,"$899,000 ","$860,000 ",850,2,1,,Y,1,1951,"8,400",,9/27/19
ML81764670,12,3700,"$1,050,000 ","$1,085,000 ",1476,4,2,,Y,2,1972,"5,800",,9/27/19
40879245,7,3700,"$1,069,000 ","$1,160,000 ",1581,4,2,0,Y,2,1963,"5,900",,9/27/19
40879041,9,3700,"$1,649,800 ","$1,600,000 ",2175,4,3,0,Y,2,1988,"9,800",70,9/27/19
40878554,11,3700,"$1,699,950 ","$1,700,000 ",1750,4,2,0,Y,2,1963,"8,664",,9/27/19
ML81748919,146,3700,"$2,299,888 ","$2,100,000 ",3128,5,4,1,Y,1,1980,"10,328",,9/29/19
40863037,124,3700,"$2,299,888 ","$2,100,000 ",3128,5,4,1,Y,3,1981,"10,328",,9/29/19
ML81759226,75,3700,"$938,000 ","$850,000 ",1312,4,2,,Y,2,1958,"5,985",,9/30/19
40874534,8,3700,"$999,000 ","$960,000 ",1632,4,3,0,Y,2,1980,"7,270",,9/30/19
40877431,41,3700,"$1,080,000 ","$1,088,500 ",1416,3,2,1,Y,2,1989,"4,103",,9/30/19
40879565,7,3700,"$1,288,000 ","$1,250,000 ",1717,3,2,1,Y,2,1986,"4,500",,9/30/19
40876591,30,3700,"$1,398,000 ","$1,276,000 ",2055,4,3,0,Y,2,1964,"6,600",,9/30/19
40877936,45,3700,"$1,488,000 ","$1,575,000 ",2226,4,2,1,Y,2,1963,"8,280",,9/30/19
ML81764690,11,3700,"$1,749,000 ","$1,610,000 ",2107,4,2,,Y,3,1992,"10,120",,9/30/19
40878317,12,3700,"$1,749,000 ","$1,610,000 ",2107,4,2,,Y,3,1992,"10,120",,9/30/19
40873501,58,3700,"$1,770,000 ","$1,700,000 ",2479,4,3,0,Y,2,1963,"9,804",,9/30/19
ML81749323,104,3700,"$2,175,000 ","$2,150,000 ",3895,4,4,1,Y,2,2018,"6,060",211,9/30/19
ML81766720,8,3500,"$1,100,000 ","$1,150,000 ",1542,4,2,,Y,2,1958,"7,350",150,10/1/19
40863801,117,3700,"$850,000 ","$820,000 ",1485,3,1,1,Y,2,1953,"12,935",,10/1/19
40878273,21,3700,"$998,000 ","$960,000 ",1262,3,2,0,Y,2,1962,"6,262",,10/1/19
40878330,19,3700,"$999,000 ","$1,102,000 ",1000,3,1,0,Y,2,1962,"8,424",,10/1/19
ME19062035,9,3700,"$1,100,000 ","$1,150,000 ",1542,4,2,0,,2,1958,"7,349",150,10/1/19
40880276,9,3700,"$1,100,000 ","$1,150,000 ",1542,4,2,,Y,2,1958,"7,350",150,10/1/19
40882398,0,3700,"$1,500,000 ","$1,500,000 ",1936,3,2,0,Y,2,1965,"11,358",,10/1/19
40876141,30,3700,"$699,000 ","$701,000 ",927,3,2,0,N,0,1906,"8,660",,10/2/19
40878463,19,3700,"$1,099,900 ","$1,080,000 ",2149,4,2,1,Y,2,1991,"5,378",125,10/2/19
40879280,9,3700,"$1,299,950 ","$1,255,000 ",1785,4,2,0,Y,2,1954,"9,000",180,10/2/19
40879028,10,3700,"$1,399,950 ","$1,425,000 ",2082,4,2,1,Y,2,1963,"8,496",,10/2/19
ML81768788,10,3700,"$999,000 ","$1,020,000 ",1324,4,2,,Y,2,1963,"5,700",,10/3/19
40879690,11,3700,"$1,149,800 ","$1,137,000 ",1364,3,2,0,Y,2,1969,"3,235",,10/3/19
40880199,11,3700,"$1,325,000 ","$1,285,000 ",2052,4,2,0,Y,2,1966,"9,631",,10/3/19
40873373,56,3700,"$1,799,000 ","$1,770,000 ",2692,5,4,,Y,2,1957,"8,176",,10/3/19
ML81762770,9,3700,"$888,000 ","$900,000 ",1124,3,2,,Y,2,1955,"5,353",,10/4/19
40870899,65,3700,"$948,000 ","$930,000 ",1668,4,2,0,Y,2,1957,"5,600",,10/4/19
40882429,10,3700,"$999,000 ","$1,020,000 ",1324,4,2,,Y,2,1963,"5,700",,10/4/19
40880615,8,3700,"$1,125,000 ","$1,160,000 ",1576,3,2,0,Y,2,1968,"5,800",,10/4/19
40877405,14,3700,"$1,150,000 ","$1,150,000 ",2116,5,3,0,Y,2,1959,"10,909",,10/4/19
40880232,5,3700,"$1,150,000 ","$1,225,000 ",1622,4,3,0,Y,2,1960,"6,120",,10/4/19
40879949,16,3700,"$1,488,000 ","$1,570,000 ",1881,3,2,0,Y,2,1975,"7,029",,10/4/19
40874127,56,3700,"$1,099,900 ","$1,075,000 ",1812,5,2,1,Y,2,1962,"6,000",,10/7/19
40879378,16,3700,"$1,200,000 ","$1,200,000 ",1980,4,2,1,Y,2,1972,"5,600",,10/7/19
40879729,24,3700,"$970,000 ","$845,000 ",1291,3,2,0,Y,2,1977,"6,007",,10/8/19
40872796,76,3700,"$1,050,000 ","$1,010,000 ",2216,4,3,,Y,2,1955,"5,225",,10/8/19
40873956,61,3700,"$1,695,000 ","$1,600,000 ",3124,5,3,,Y,3,2001,"13,094",,10/8/19
ML81757514,58,3700,"$1,799,000 ","$1,770,000 ",2692,5,4,,Y,2,1957,"8,176",,10/9/19
ML81761341,53,3700,"$1,020,000 ","$980,000 ",1416,3,2,1,Y,2,1989,"3,938",,10/10/19
40877138,23,3700,"$1,197,000 ","$1,170,000 ",1870,3,3,1,Y,2,1948,"12,400",,10/10/19
40880766,8,3700,"$2,248,000 ","$2,248,000 ",3966,4,3,0,Y,3,1993,"12,906",,10/10/19
ML81766083,28,3500,"$1,359,000 ","$1,330,000 ",2186,4,3,,Y,2,1976,"7,146",,10/11/19
40880158,18,3700,"$949,000 ","$975,000 ",1251,3,2,0,Y,2,1959,"6,000",,10/11/19
40878739,31,3700,"$1,238,000 ","$1,190,000 ",1325,4,2,0,Y,2,1960,"8,990",,10/11/19
40874775,55,3700,"$1,348,000 ","$1,300,000 ",1857,4,2,1,Y,2,1990,"4,080",35,10/11/19
40879073,39,3700,"$1,550,000 ","$1,225,000 ",0,0,0,0,N,0,1955,"1,142,143",,10/11/19
40879387,19,3700,"$1,749,000 ","$1,700,121 ",2257,4,3,,Y,2,1985,"9,380",,10/11/19
40881775,21,3700,"$2,228,000 ","$2,225,000 ",3883,5,4,1,Y,3,2007,"6,050",85,10/11/19
40869498,88,3700,"$798,888 ","$785,000 ",1107,2,2,0,Y,2,1999,"3,142",115,10/15/19
40881763,7,3700,"$888,888 ","$952,000 ",1548,4,2,0,Y,2,1958,"6,196",,10/15/19
40877474,19,3700,"$1,036,840 ","$1,021,000 ",1409,4,2,0,Y,2,1978,"5,935",,10/15/19
40881943,9,3700,"$1,049,000 ","$1,125,000 ",1480,3,2,0,Y,2,1973,"6,050",,10/15/19
40882216,7,3700,"$1,049,800 ","$1,065,000 ",1619,4,2,0,Y,2,1962,"8,505",,10/15/19
40880890,9,3700,"$1,099,000 ","$1,160,000 ",1679,3,2,0,Y,2,1961,"6,027",,10/15/19
40881721,7,3700,"$1,149,000 ","$1,201,000 ",1839,3,2,1,Y,2,1988,"4,672",40,10/15/19
40870115,84,3700,"$1,175,000 ","$1,150,000 ",1574,3,2,1,Y,2,1963,"7,303",,10/15/19
40876821,45,3700,"$1,449,000 ","$1,435,000 ",2176,4,3,0,Y,2,2016,"3,470",154,10/15/19
ML81764517,30,3700,"$1,685,000 ","$1,630,000 ",2137,4,2,1,Y,2,1974,"8,280",,10/15/19
40881636,2,3700,"$898,000 ","$930,000 ",1441,4,3,0,Y,2,1959,"5,985",,10/16/19
40881108,14,3700,"$1,229,888 ","$1,230,000 ",1597,3,2,1,Y,2,1992,"3,600",40,10/16/19
40881699,5,3700,"$1,349,000 ","$1,410,000 ",2152,4,3,0,Y,2,1956,"7,288",,10/16/19
40878298,31,3700,"$1,359,000 ","$1,330,000 ",2186,4,3,0,Y,2,1976,"7,146",,10/16/19
ML81762950,45,3700,"$1,449,000 ","$1,435,000 ",2176,4,3,,Y,2,2016,"3,470",154,10/16/19
40878204,33,3700,"$1,685,000 ","$1,630,000 ",2137,4,2,1,Y,2,1974,"8,280",,10/16/19
40875058,39,3700,"$1,799,888 ","$1,611,600 ",2265,4,2,0,Y,2,1966,"8,216",,10/16/19
40880021,13,3700,"$850,000 ","$880,000 ",1404,3,2,0,Y,2,1961,"6,003",,10/17/19
ML81769226,14,3700,"$1,120,000 ","$1,120,000 ",1738,4,3,1,Y,2,2010,"1,738",285,10/17/19
40882822,14,3700,"$1,120,000 ","$1,120,000 ",1738,4,3,1,Y,2,2010,0,285,10/17/19
40877476,32,3700,"$1,199,888 ","$1,184,888 ",2219,4,3,0,Y,2,1962,"5,928",,10/17/19
40880793,3,3700,"$1,388,000 ","$1,332,000 ",1476,3,2,0,Y,2,1961,"7,150",,10/17/19
ML81767192,3,3700,"$1,388,000 ","$1,332,000 ",1476,3,2,,Y,2,1961,"7,150",,10/17/19
40881390,9,3700,"$1,899,000 ","$1,820,000 ",2566,5,3,0,Y,3,1974,"7,150",,10/17/19
BA21919182,15,21101,"$998,500 ","$1,050,000 ",1584,4,2,0,,2,1960,"7,650",150,10/18/19
40875502,59,3700,"$755,000 ","$715,000 ",1114,3,1,0,Y,2,1952,"5,444",,10/18/19
ML81768599,12,3700,"$799,900 ","$820,000 ",1108,3,2,,Y,2,1966,"5,800",,10/18/19
40882253,12,3700,"$799,900 ","$820,000 ",1108,3,2,,Y,2,1966,"5,800",,10/18/19
40879610,23,3700,"$878,000 ","$910,000 ",1086,3,1,,Y,2,1951,"9,914",,10/18/19
40882445,3,3700,"$998,500 ","$1,050,000 ",1584,4,2,,Y,2,1960,"7,650",150,10/18/19
40881986,6,3700,"$999,850 ","$1,090,000 ",1329,3,2,1,Y,2,1953,"9,000",180,10/18/19
ML81762240,76,3700,"$999,999 ","$1,000,000 ",1581,4,2,,Y,2,1963,"7,242",,10/18/19
40881014,13,3700,"$1,099,000 ","$1,151,000 ",1593,3,2,0,Y,2,1971,"5,800",,10/18/19
40882023,7,3700,"$1,397,000 ","$1,465,000 ",2327,5,2,1,Y,2,1968,"6,400",,10/18/19
40879350,26,3700,"$1,499,000 ","$1,500,121 ",1948,4,2,1,Y,3,1978,"7,774",,10/18/19
ML81768344,7,3700,"$1,690,000 ","$1,720,000 ",2353,4,3,0,Y,2,2017,"5,050",154,10/18/19
40880253,17,3700,"$1,749,000 ","$1,680,000 ",2291,5,2,0,Y,2,1962,"7,475",,10/18/19
ML81766142,34,3700,"$1,825,000 ","$1,815,000 ",2305,4,3,,Y,3,1985,"13,600",,10/18/19
40875483,57,3700,"$1,995,000 ","$1,850,000 ",3110,4,2,1,Y,3,2017,"5,940",157,10/18/19
40881888,7,3700,"$1,999,999 ","$1,940,000 ",3216,4,3,0,Y,3,1981,"15,370",,10/18/19
40877756,33,3700,"$2,668,888 ","$2,530,000 ",3729,4,3,1,Y,3,1994,"77,027",,10/18/19
BA21921030,59,21101,"$1,488,000 ","$1,575,000 ",2226,4,2,1,,2,1963,"8,280",,10/21/19
40882688,7,3700,"$958,888 ","$999,880 ",1625,3,2,,Y,2,1966,"6,864",,10/21/19
ML81767076,16,3700,"$1,429,800 ","$1,430,000 ",1884,4,3,,Y,2,1972,"7,982",37,10/21/19
40880662,16,3700,"$1,429,800 ","$1,430,000 ",1884,4,3,0,Y,2,1972,"7,982",37,10/21/19
ML81764034,28,3500,"$829,888 ","$870,000 ",1240,3,2,,Y,2,1965,"5,789",,10/22/19
40879332,15,3700,"$829,888 ","$870,000 ",1240,3,2,,Y,2,1965,"5,789",,10/22/19
40882706,9,3700,"$895,000 ","$920,000 ",1390,3,2,,Y,2,1967,"6,555",,10/22/19
40881003,14,3700,"$899,999 ","$950,000 ",1340,4,2,0,Y,2,1954,"5,500",,10/22/19
40876905,55,3700,"$1,150,000 ","$1,137,500 ",1400,4,2,0,Y,2,1969,"5,800",,10/22/19
40881398,10,3700,"$1,298,800 ","$1,310,000 ",2078,4,3,0,Y,2,1957,"12,905",180,10/22/19
ML81766836,13,3500,"$1,050,000 ","$1,008,500 ",1413,4,2,,Y,2,1962,"6,644",,10/23/19
40881695,15,3700,"$998,000 ","$1,197,000 ",1400,4,2,0,Y,2,1970,"7,520",,10/23/19
40881249,21,3700,"$1,399,000 ","$1,360,000 ",2204,4,2,0,Y,2,1978,"8,400",,10/23/19
BA21921522,35,21101,"$997,900 ","$955,000 ",1730,4,2,0,,2,1971,"10,075",,10/24/19
40879352,44,3700,"$770,000 ","$766,250 ",1200,3,1,0,Y,0,1955,"5,500",,10/24/19
40877585,35,3700,"$997,900 ","$955,000 ",1730,4,2,0,Y,2,1971,"10,074",,10/24/19
ME19056424,35,3700,"$997,900 ","$955,000 ",1730,4,2,0,,2,1971,"10,017",,10/24/19
40879392,42,3700,"$999,000 ","$985,000 ",1198,3,2,,Y,2,1959,"6,240",,10/24/19
ML81765809,38,3700,"$999,000 ","$985,000 ",1198,3,2,,Y,2,1959,"6,240",,10/24/19
40881440,15,3700,"$1,199,000 ","$1,180,000 ",1706,4,3,0,Y,3,1959,"8,439",,10/24/19
ML81769124,9,3700,"$1,549,000 ","$1,625,000 ",2115,4,2,1,Y,2,1967,"14,480",,10/24/19
40882755,9,3700,"$1,549,000 ","$1,625,000 ",2115,4,2,1,Y,2,1967,"14,480",,10/24/19
BA21915173,128,21101,"$829,000 ","$812,500 ",1042,2,2,0,,2,1985,3492,125,10/25/19
40868572,117,3700,"$829,000 ","$812,500 ",1042,2,2,0,Y,2,1985,"3,492",125,10/25/19
40873593,99,3700,"$899,000 ","$900,000 ",1566,3,2,0,N,0,1953,"5,753",,10/25/19
ML81764093,52,3700,"$899,000 ","$900,000 ",1566,3,2,,,0,1953,"5,753",,10/25/19
40867818,119,3700,"$899,999 ","$875,000 ",1269,3,2,0,Y,2,1962,"6,900",,10/25/19
ML81767730,24,3700,"$968,888 ","$940,000 ",1335,3,2,1,Y,2,1978,"4,090",,10/25/19
40880065,28,3700,"$999,800 ","$960,000 ",1314,4,2,0,Y,2,1960,"6,800",,10/25/19
40882657,33,3700,"$1,468,000 ","$1,418,000 ",1994,3,2,0,Y,2,1984,"7,644",,10/25/19
40882597,8,3700,"$1,538,000 ","$1,550,000 ",1708,4,2,,Y,2,1976,"7,892",,10/25/19
ML81769004,8,3700,"$1,538,000 ","$1,550,000 ",1708,4,2,,Y,2,1976,"7,892",,10/25/19
40884684,5,3700,"$1,998,000 ","$2,000,000 ",3105,5,3,1,Y,2,2016,"5,106",154,10/25/19
40883130,6,3700,"$798,888 ","$800,000 ",1182,2,1,0,Y,2,1947,"6,250",,10/26/19
40882908,12,3700,"$930,000 ","$930,000 ",1712,3,2,1,Y,2,2013,"1,683",132,10/28/19
40883192,7,3700,"$1,250,000 ","$1,240,000 ",1513,3,2,0,Y,2,1962,"8,497",,10/28/19
40881630,23,3700,"$1,399,888 ","$1,360,000 ",1406,3,2,,Y,2,1955,"5,454",,10/28/19
ML81755545,66,3700,"$1,480,000 ","$1,470,000 ",2456,,,3,,0,1988,"6,090",,10/28/19
40878632,49,3700,"$1,598,999 ","$1,600,000 ",1902,4,2,1,Y,2,1965,"9,520",,10/28/19
40883406,10,3700,"$968,800 ","$992,000 ",1515,3,2,0,Y,2,1959,"5,742",,10/29/19
40882087,20,3700,"$1,098,000 ","$1,089,980 ",1496,4,2,,Y,2,1978,"10,274",,10/29/19
40880758,21,3700,"$850,000 ","$830,000 ",1078,3,2,0,Y,2,1962,"6,405",,10/30/19
40877141,57,3700,"$1,095,000 ","$1,075,000 ",1550,3,2,0,Y,2,1955,"8,942",180,10/30/19
40878993,14,3700,"$1,249,000 ","$1,316,000 ",2222,4,2,,Y,2,1958,"9,588",180,10/30/19
40880573,25,3700,"$1,249,950 ","$1,277,000 ",2028,4,2,0,Y,2,1956,"8,164",180,10/30/19
ML81767098,26,3700,"$1,249,950 ","$1,277,000 ",2028,4,2,,Y,2,1956,"8,164",180,10/30/19
ML81767136,26,3500,"$1,080,000 ","$1,070,000 ",1453,3,2,,Y,2,1976,"4,500",,10/31/19
40885232,6,3700,"$735,000 ","$685,000 ",1060,3,2,,Y,2,1969,"3,312",,10/31/19
40882525,10,3700,"$948,000 ","$979,000 ",1652,4,2,0,Y,2,1962,"6,000",44,10/31/19
40881368,26,3700,"$1,099,000 ","$1,065,000 ",1523,3,2,,Y,2,1971,"7,883",,10/31/19
40883019,11,3700,"$1,179,888 ","$1,200,000 ",1830,4,2,,Y,2,1972,"6,000",,10/31/19
