ID,DOM,Area,LP,SP,SqFt,BR,Bth,PB,Gar,GarSp,YrBlt,Lot SqFt,HOA Fee,Closing Date
40848411,41,3700,"$1,385,000 ","$1,365,000 ",1636,3,3,,Y,2,1977,"7,208",,2/28/19
40853184,8,3700,"$1,488,000 ","$1,550,000 ",1698,4,2,0,Y,2,1961,"6,510",,2/28/19
40850466,10,3700,"$1,490,000 ","$1,530,000 ",2721,4,3,0,Y,2,1958,"11,050",150,2/28/19
40850847,16,3700,"$1,788,000 ","$1,960,000 ",2212,4,3,0,Y,2,1960,"9,600",,2/28/19
40843992,95,3700,"$1,159,000 ","$1,075,000 ",1344,3,2,0,Y,2,1960,"9,309",,3/1/19
40855088,0,3700,"$1,300,000 ","$1,275,000 ",2675,4,3,0,Y,2,1965,"14,945",,3/1/19
ML81735408,15,3700,"$1,448,000 ","$1,438,000 ",1514,4,2,,Y,2,1964,"6,560",,3/1/19
40850066,16,3700,"$1,448,000 ","$1,438,000 ",1514,4,2,0,Y,2,1964,"6,560",,3/1/19
ML81732533,71,3700,"$2,190,000 ","$2,090,000 ",3465,4,3,,Y,3,1990,"10,159",,3/1/19
40847385,59,3700,"$2,190,000 ","$2,090,000 ",3465,4,3,0,Y,3,1990,"10,159",,3/1/19
ML81737064,6,3500,"$999,888 ","$980,000 ",1362,3,3,,Y,2,1955,"5,796",,3/4/19
ML81734647,17,3500,"$1,050,000 ","$1,080,000 ",1416,3,2,1,Y,2,1989,"3,813",,3/4/19
40850873,14,3700,"$999,888 ","$980,000 ",1362,3,3,,Y,2,1955,"5,796",,3/4/19
40850034,17,3700,"$1,050,000 ","$1,080,000 ",1416,3,2,1,Y,2,1989,"3,813",,3/4/19
40851250,7,3700,"$1,099,000 ","$1,055,000 ",1754,4,2,0,Y,2,1963,"5,800",,3/4/19
40851059,7,3700,"$1,199,950 ","$1,215,000 ",1700,3,2,1,Y,2,1987,"3,689",165,3/4/19
40851593,7,3700,"$1,398,000 ","$1,380,000 ",2192,5,3,0,Y,2,1979,"6,380",,3/4/19
40851132,11,3700,"$1,475,000 ","$1,550,000 ",1866,4,3,,Y,2,1978,"7,843",,3/4/19
40849744,12,3700,"$849,000 ","$830,000 ",1132,3,2,0,Y,2,1954,"5,015",,3/5/19
40852398,7,3700,"$899,999 ","$970,000 ",1078,3,2,,Y,1,1963,"5,700",,3/5/19
ML81737796,7,3700,"$899,999 ","$970,000 ",1078,3,2,,Y,1,1963,"5,700",,3/5/19
40850382,20,3700,"$1,200,000 ","$1,242,121 ",1523,3,2,,Y,2,1965,"6,283",,3/5/19
40851603,9,3700,"$1,350,000 ","$1,450,000 ",2400,5,2,1,Y,2,1999,"5,492",135,3/5/19
40850934,10,3700,"$1,800,000 ","$1,750,000 ",3195,5,3,0,Y,2,1964,"16,006",150,3/5/19
40851843,14,3700,"$1,246,000 ","$1,250,000 ",2144,3,2,1,Y,2,1988,"7,820",,3/6/19
40855336,0,3700,"$3,398,000 ","$3,120,000 ",5215,5,4,1,Y,4,2000,"22,377",216,3/6/19
ML81736493,15,3700,"$988,000 ","$1,000,000 ",1387,3,2,1,Y,2,1997,"4,063",85,3/8/19
40851128,14,3700,"$988,000 ","$1,000,000 ",1387,3,2,1,Y,2,1997,"4,063",85,3/8/19
40851130,10,3700,"$1,100,000 ","$1,150,000 ",1628,3,2,0,Y,2,1966,"8,640",,3/8/19
40852562,14,3700,"$1,148,000 ","$1,345,000 ",1986,4,2,1,Y,2,1995,"6,156",,3/8/19
ML81738236,4,3700,"$1,149,888 ","$1,100,000 ",1409,3,3,,Y,2,2007,"14,570",95,3/8/19
40850216,12,3700,"$1,489,000 ","$1,495,000 ",2472,3,2,1,Y,1,1949,"59,500",,3/8/19
ML81737798,8,3700,"$888,000 ","$925,000 ",1158,3,2,,Y,2,1960,"5,500",,3/11/19
40852272,10,3700,"$1,075,000 ","$1,100,000 ",1451,3,3,0,Y,2,2008,0,95,3/11/19
40852640,7,3700,"$1,082,200 ","$1,108,855 ",1964,4,2,0,Y,2,1975,"6,107",,3/11/19
ML81736182,24,3700,"$1,100,000 ","$1,150,000 ",1607,3,2,1,Y,2,1988,"2,715",90,3/11/19
40854219,6,3700,"$1,139,000 ","$1,181,000 ",1214,3,2,,Y,2,1985,"4,500",,3/11/19
ML81739786,6,3700,"$1,139,000 ","$1,181,000 ",1214,3,2,,Y,2,1985,"4,500",,3/11/19
40850596,20,3700,"$1,198,888 ","$1,160,000 ",1661,4,2,,Y,2,1960,"7,866",150,3/11/19
40848848,23,3700,"$799,889 ","$750,000 ",1146,3,2,0,Y,2,1958,"6,000",,3/12/19
40847301,58,3700,"$1,888,000 ","$1,800,000 ",2583,4,2,1,Y,2,1968,"12,052",,3/13/19
ML81732460,78,3700,"$1,888,000 ","$1,800,000 ",2583,4,2,1,Y,2,1968,"12,052",,3/13/19
40852493,7,3700,"$799,000 ","$820,000 ",1800,3,2,0,Y,2,1961,"6,034",,3/14/19
40853660,10,3700,"$938,800 ","$990,000 ",1692,3,2,0,Y,2,1958,"6,720",,3/14/19
40852504,9,3700,"$999,000 ","$1,010,000 ",1995,4,3,0,Y,2,1960,"7,682",,3/14/19
